"symbol","expected","actual","ratio"
"ETHUSDT","0","0","0"
"BTCUSDT","0","0","0"
"SOLUSDT","0","0","0"
"XRPUSDT","0","0","0"
"LINKUSDT","0","0","0"
"DOGEUSDT","0","0","0"
"ADAUSDT","0","0","0"
"API3USDT","0","0","0"
"BNBUSDT","0","0","0"
"BIOUSDT","0","0","0"
"SUIUSDT","0","0","0"
"ENAUSDT","0","0","0"
"1000PEPEUSDT","0","0","0"
"MEMEUSDT","0","0","0"
"AIOTUSDT","0","0","0"
"ARBUSDT","0","0","0"
"AVAXUSDT","0","0","0"
"FARTCOINUSDT","0","0","0"
"PENGUUSDT","0","0","0"
"HYPEUSDT","0","0","0"
"LTCUSDT","0","0","0"
"PUMPUSDT","0","0","0"
"OGNUSDT","0","0","0"
"WIFUSDT","0","0","0"
"MYXUSDT","0","0","0"
"CFXUSDT","0","0","0"
"AAVEUSDT","0","0","0"
"TRXUSDT","0","0","0"
"TRUMPUSDT","0","0","0"
"UNIUSDT","0","0","0"
"LDOUSDT","0","0","0"
"1000BONKUSDT","0","0","0"
"UMAUSDT","0","0","0"
"XNYUSDT","0","0","0"
"DOTUSDT","0","0","0"
"SAPIENUSDT","0","0","0"
"CRVUSDT","0","0","0"
"OPUSDT","0","0","0"
"XLMUSDT","0","0","0"
"SEIUSDT","0","0","0"
"NEARUSDT","0","0","0"
"WLDUSDT","0","0","0"
"HBARUSDT","0","0","0"
"MUSDT","0","0","0"
"PROVEUSDT","0","0","0"
"HYPERUSDT","0","0","0"
"FILUSDT","0","0","0"
"1000SHIBUSDT","0","0","0"
"INJUSDT","0","0","0"
"BCHUSDT","0","0","0"
